opp_id,agency_id,naics,value,incumbent_changed,incumbent_vendor_id,awardee_id,sow_ambiguity_score,title,posted_date,due_date,sow_text,protests,sustained,median_resolution_days,primary_protester,protester_history,last_decision_date,protested,sustained_flag,sustain_rate_opp,value_band,incumbent_displacement_flag,log_value,agency_prior_protest_rate,group_protest_rate,group_sustain_rate,group_median_resolution_days,value_millions,value_band_enc,sow_incumbent_interaction,days_since_last_decision
1000,DHS,541330,6561609.658973289,0,6,32,0.1626990007029264,Opportunity 1000,2022-01-01,2022-03-20,Scope is clearly defined with firm metrics and acceptance criteria.,1,0,32.0,DHS_1,2,2023-06-02,1,0,0.0,1-10M,0,15.696746658065894,0.6086956521739131,0.6428571428571429,0.4642857142857143,44.25,6.561609658973289,1,0.0,-365.0
1001,NASA,541519,4972411.293934399,1,2,44,0.0,Opportunity 1001,2022-01-06,2022-04-07,Multi-vendor environment with significant transition risk from incumbent service provider.,0,0,0.0,,0,,0,0,0.0,1-10M,1,15.419415651331361,0.6060606060606061,0.7142857142857143,0.4642857142857143,45.25,4.9724112939344,1,0.0,365.0
1002,DOD,541511,2172545.4633408743,1,22,34,0.420779953397869,Opportunity 1002,2022-01-11,2022-05-02,Multi-vendor environment with significant transition risk from incumbent service provider.,1,1,63.0,DOD_1,2,2023-10-07,1,1,1.0,1-10M,1,14.591410522931362,0.6086956521739131,0.5,0.45,13.75,2.1725454633408745,1,0.420779953397869,-365.0
1003,VA,541330,4940459.2020003535,0,12,21,0.2005370041889936,Opportunity 1003,2022-01-16,2022-05-13,Multi-vendor environment with significant transition risk from incumbent service provider.,1,0,58.0,VA_8,3,2023-09-04,1,0,0.0,1-10M,0,15.412969043124807,0.5454545454545454,0.45454545454545453,0.22727272727272727,0.0,4.940459202000353,1,0.0,-365.0
1004,VA,541611,1810366.5299055828,1,18,14,0.4287873670844975,Opportunity 1004,2022-01-21,2022-04-05,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.,0,0,0.0,,0,,0,0,0.0,1-10M,1,14.409040437825547,1.0,0.4375,0.40625,0.0,1.8103665299055829,1,0.4287873670844975,365.0
1005,GSA,541611,2088795.114942266,1,6,39,0.0499485377391306,Opportunity 1005,2022-01-26,2022-04-03,Scope is clearly defined with firm metrics and acceptance criteria.,2,1,27.0,GSA_1,5,2023-12-06,1,1,0.5,1-10M,1,14.552098436418115,0.5409836065573771,0.4166666666666667,0.20833333333333334,0.0,2.088795114942266,1,0.0499485377391306,-365.0
1006,DHS,541611,790085.5203197494,0,9,12,0.2595063854224355,Opportunity 1006,2022-01-31,2022-03-19,Scope is clearly defined with firm metrics and acceptance criteria.,0,0,0.0,,0,,0,0,0.0,LT1M,0,13.57989773783848,1.0,0.25,0.25,0.0,0.7900855203197493,0,0.0,365.0
1007,NASA,541512,2416289.06834666,1,18,22,0.4871567738257077,Opportunity 1007,2022-02-05,2022-04-24,Multi-vendor environment with significant transition risk from incumbent service provider.,2,1,76.5,NASA_7,3,2023-07-19,1,1,0.5,1-10M,1,14.697743892231813,0.0,0.8,0.43333333333333335,52.0,2.4162890683466602,1,0.4871567738257077,-365.0
1008,HHS,541330,1877195.4635938336,0,27,34,0.5415523994459843,Opportunity 1008,2022-02-10,2022-06-02,Requirements include complex integrations of legacy platforms with modern cloud services.,2,1,94.5,HHS_8,5,2023-08-17,1,1,0.5,1-10M,0,14.445289979027747,0.5636363636363636,0.8461538461538461,0.5769230769230769,72.5,1.8771954635938337,1,0.0,-365.0
1009,DHS,541512,675366.5857091319,1,17,41,0.5543679896855036,Opportunity 1009,2022-02-15,2022-04-29,Scope is clearly defined with firm metrics and acceptance criteria.,2,2,72.0,DHS_4,6,2023-11-20,1,1,1.0,LT1M,1,13.423012393050398,0.5,0.5,0.25,7.5,0.6753665857091319,0,0.5543679896855036,-365.0
1010,DOD,541512,1726492.0068852522,1,22,41,0.1198777539607406,Opportunity 1010,2022-02-20,2022-04-22,Requirements include complex integrations of legacy platforms with modern cloud services.,2,1,38.0,DOD_8,3,2023-07-19,1,1,0.5,1-10M,1,14.361602745346554,1.0,0.8181818181818182,0.5454545454545454,64.0,1.7264920068852523,1,0.1198777539607406,-365.0
