opp_id,title,posted_date,due_date,sow_text
1000,Opportunity 1000,2022-01-01,2022-03-20,Scope is clearly defined with firm metrics and acceptance criteria.
1001,Opportunity 1001,2022-01-06,2022-04-07,Multi-vendor environment with significant transition risk from incumbent service provider.
1002,Opportunity 1002,2022-01-11,2022-05-02,Multi-vendor environment with significant transition risk from incumbent service provider.
1003,Opportunity 1003,2022-01-16,2022-05-13,Multi-vendor environment with significant transition risk from incumbent service provider.
1004,Opportunity 1004,2022-01-21,2022-04-05,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1005,Opportunity 1005,2022-01-26,2022-04-03,Scope is clearly defined with firm metrics and acceptance criteria.
1006,Opportunity 1006,2022-01-31,2022-03-19,Scope is clearly defined with firm metrics and acceptance criteria.
1007,Opportunity 1007,2022-02-05,2022-04-24,Multi-vendor environment with significant transition risk from incumbent service provider.
1008,Opportunity 1008,2022-02-10,2022-06-02,Requirements include complex integrations of legacy platforms with modern cloud services.
1009,Opportunity 1009,2022-02-15,2022-04-29,Scope is clearly defined with firm metrics and acceptance criteria.
1010,Opportunity 1010,2022-02-20,2022-04-22,Requirements include complex integrations of legacy platforms with modern cloud services.
1011,Opportunity 1011,2022-02-25,2022-04-05,Scope is clearly defined with firm metrics and acceptance criteria.
1012,Opportunity 1012,2022-03-02,2022-05-06,Scope is clearly defined with firm metrics and acceptance criteria.
1013,Opportunity 1013,2022-03-07,2022-04-27,Requirements include complex integrations of legacy platforms with modern cloud services.
1014,Opportunity 1014,2022-03-12,2022-07-07,Scope is clearly defined with firm metrics and acceptance criteria.
1015,Opportunity 1015,2022-03-17,2022-06-02,Multi-vendor environment with significant transition risk from incumbent service provider.
1016,Opportunity 1016,2022-03-22,2022-05-03,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1017,Opportunity 1017,2022-03-27,2022-05-02,Multi-vendor environment with significant transition risk from incumbent service provider.
1018,Opportunity 1018,2022-04-01,2022-07-16,Multi-vendor environment with significant transition risk from incumbent service provider.
1019,Opportunity 1019,2022-04-06,2022-07-28,Multi-vendor environment with significant transition risk from incumbent service provider.
1020,Opportunity 1020,2022-04-11,2022-07-18,Scope is clearly defined with firm metrics and acceptance criteria.
1021,Opportunity 1021,2022-04-16,2022-05-27,Multi-vendor environment with significant transition risk from incumbent service provider.
1022,Opportunity 1022,2022-04-21,2022-05-29,Multi-vendor environment with significant transition risk from incumbent service provider.
1023,Opportunity 1023,2022-04-26,2022-06-12,Multi-vendor environment with significant transition risk from incumbent service provider.
1024,Opportunity 1024,2022-05-01,2022-08-06,Scope is clearly defined with firm metrics and acceptance criteria.
1025,Opportunity 1025,2022-05-06,2022-08-12,Requirements include complex integrations of legacy platforms with modern cloud services.
1026,Opportunity 1026,2022-05-11,2022-08-24,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1027,Opportunity 1027,2022-05-16,2022-06-23,Multi-vendor environment with significant transition risk from incumbent service provider.
1028,Opportunity 1028,2022-05-21,2022-07-03,Multi-vendor environment with significant transition risk from incumbent service provider.
1029,Opportunity 1029,2022-05-26,2022-09-14,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1030,Opportunity 1030,2022-05-31,2022-09-21,Requirements include complex integrations of legacy platforms with modern cloud services.
1031,Opportunity 1031,2022-06-05,2022-09-08,Scope is clearly defined with firm metrics and acceptance criteria.
1032,Opportunity 1032,2022-06-10,2022-07-19,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1033,Opportunity 1033,2022-06-15,2022-07-21,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1034,Opportunity 1034,2022-06-20,2022-07-25,Scope is clearly defined with firm metrics and acceptance criteria.
1035,Opportunity 1035,2022-06-25,2022-09-25,Scope is clearly defined with firm metrics and acceptance criteria.
1036,Opportunity 1036,2022-06-30,2022-10-14,Requirements include complex integrations of legacy platforms with modern cloud services.
1037,Opportunity 1037,2022-07-05,2022-09-29,Scope is clearly defined with firm metrics and acceptance criteria.
1038,Opportunity 1038,2022-07-10,2022-09-01,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1039,Opportunity 1039,2022-07-15,2022-10-21,Requirements include complex integrations of legacy platforms with modern cloud services.
1040,Opportunity 1040,2022-07-20,2022-08-24,Multi-vendor environment with significant transition risk from incumbent service provider.
1041,Opportunity 1041,2022-07-25,2022-11-06,Requirements include complex integrations of legacy platforms with modern cloud services.
1042,Opportunity 1042,2022-07-30,2022-11-17,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1043,Opportunity 1043,2022-08-04,2022-11-06,Scope is clearly defined with firm metrics and acceptance criteria.
1044,Opportunity 1044,2022-08-09,2022-11-26,Multi-vendor environment with significant transition risk from incumbent service provider.
1045,Opportunity 1045,2022-08-14,2022-11-04,Multi-vendor environment with significant transition risk from incumbent service provider.
1046,Opportunity 1046,2022-08-19,2022-10-30,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1047,Opportunity 1047,2022-08-24,2022-10-22,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1048,Opportunity 1048,2022-08-29,2022-12-19,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1049,Opportunity 1049,2022-09-03,2022-12-04,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1050,Opportunity 1050,2022-09-08,2022-10-25,Requirements include complex integrations of legacy platforms with modern cloud services.
1051,Opportunity 1051,2022-09-13,2023-01-07,Scope is clearly defined with firm metrics and acceptance criteria.
1052,Opportunity 1052,2022-09-18,2022-10-23,Requirements include complex integrations of legacy platforms with modern cloud services.
1053,Opportunity 1053,2022-09-23,2022-12-14,Scope is clearly defined with firm metrics and acceptance criteria.
1054,Opportunity 1054,2022-09-28,2022-11-14,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1055,Opportunity 1055,2022-10-03,2022-12-31,Requirements include complex integrations of legacy platforms with modern cloud services.
1056,Opportunity 1056,2022-10-08,2022-12-14,Requirements include complex integrations of legacy platforms with modern cloud services.
1057,Opportunity 1057,2022-10-13,2022-12-21,Multi-vendor environment with significant transition risk from incumbent service provider.
1058,Opportunity 1058,2022-10-18,2023-01-16,Scope is clearly defined with firm metrics and acceptance criteria.
1059,Opportunity 1059,2022-10-23,2023-01-29,Requirements include complex integrations of legacy platforms with modern cloud services.
1060,Opportunity 1060,2022-10-28,2022-12-31,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1061,Opportunity 1061,2022-11-02,2023-03-01,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1062,Opportunity 1062,2022-11-07,2023-01-20,Multi-vendor environment with significant transition risk from incumbent service provider.
1063,Opportunity 1063,2022-11-12,2022-12-26,Multi-vendor environment with significant transition risk from incumbent service provider.
1064,Opportunity 1064,2022-11-17,2022-12-17,Multi-vendor environment with significant transition risk from incumbent service provider.
1065,Opportunity 1065,2022-11-22,2023-01-09,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1066,Opportunity 1066,2022-11-27,2023-02-27,Scope is clearly defined with firm metrics and acceptance criteria.
1067,Opportunity 1067,2022-12-02,2023-02-18,Multi-vendor environment with significant transition risk from incumbent service provider.
1068,Opportunity 1068,2022-12-07,2023-02-05,Scope is clearly defined with firm metrics and acceptance criteria.
1069,Opportunity 1069,2022-12-12,2023-02-23,Scope is clearly defined with firm metrics and acceptance criteria.
1070,Opportunity 1070,2022-12-17,2023-04-01,Multi-vendor environment with significant transition risk from incumbent service provider.
1071,Opportunity 1071,2022-12-22,2023-03-13,Multi-vendor environment with significant transition risk from incumbent service provider.
1072,Opportunity 1072,2022-12-27,2023-01-31,Scope is clearly defined with firm metrics and acceptance criteria.
1073,Opportunity 1073,2023-01-01,2023-02-04,Ambiguous deliverables with TBD interfaces and heavy coordination requirements.
1074,Opportunity 1074,2023-01-06,2023-03-20,Multi-vendor environment with significant transition risk from incumbent service provider.
1075,Opportunity 1075,2023-01-11,2023-03-18,Multi-vendor environment with significant transition risk from incumbent service provider.
