opp_id,agency_id,naics,value,incumbent_changed,incumbent_vendor_id,awardee_id,sow_ambiguity_score
1000,DHS,541330,6561609.658973289,0,6,32,0.16269900070292648
1001,NASA,541519,4972411.293934399,1,2,44,0.0
1002,DOD,541511,2172545.4633408743,1,22,34,0.420779953397869
1003,VA,541330,4940459.2020003535,0,12,21,0.2005370041889936
1004,VA,541611,1810366.5299055828,1,18,14,0.42878736708449755
1005,GSA,541611,2088795.1149422661,1,6,39,0.04994853773913066
1006,DHS,541611,790085.5203197494,0,9,12,0.25950638542243554
1007,NASA,541512,2416289.06834666,1,18,22,0.4871567738257077
1008,HHS,541330,1877195.4635938334,0,27,34,0.5415523994459843
1009,DHS,541512,675366.5857091319,1,17,41,0.5543679896855036
1010,DOD,541512,1726492.0068852522,1,22,41,0.11987775396074069
1011,GSA,541511,1689938.7220627218,1,21,4,0.6636714325338904
1012,NASA,541511,6907862.924083847,0,11,40,0.24994707584953743
1013,NASA,541512,3508362.6193398032,1,11,6,0.6082144786518267
1014,NASA,541512,1809541.5417702994,0,17,26,0.4473403308454517
1015,NASA,541519,2162099.8978843885,0,2,41,0.10590312523051304
1016,DOD,541330,1854562.3264645948,0,27,29,0.37095057385470304
1017,DHS,541512,1540803.3764779067,1,24,42,0.5413409355159419
1018,GSA,541511,796657.0802106423,0,12,16,0.6032413451186498
1019,VA,541611,1601916.193857518,1,15,14,0.4147530256388954
1020,DOD,541330,1025228.7408991936,1,13,15,0.8329447226502632
1021,VA,541519,702403.5292208948,0,26,16,0.7018776927466397
1022,HHS,541519,2632425.864369322,0,30,31,0.3858364709000618
1023,GSA,541611,2405933.4014779422,0,5,20,0.6375304530342362
1024,NASA,541611,469756.3178033531,0,17,33,0.9334483712970467
1025,DOD,541512,1636362.783518274,1,1,19,0.9401211501957567
1026,VA,541330,3785831.256718596,0,18,14,0.14300002979437565
1027,NASA,541330,3970560.411040708,1,10,9,0.21836672221071235
1028,DOD,541512,3872371.3611361464,0,14,25,0.8212296966834627
1029,VA,541519,1847206.2216639416,1,18,40,0.1854297372905907
1030,VA,541512,951900.702296602,1,13,38,0.11936471667708026
1031,HHS,541519,795897.652645654,1,16,12,0.3284514673252383
1032,DHS,541330,2323194.36613103,1,30,22,0.5550566773686465
1033,DOD,541512,2384404.64349468,1,32,32,0.4244008233472259
1034,GSA,541611,4711412.588704033,0,1,27,0.287359094898602
