opp_id,agency_id,value,value_band,incumbent_vendor_id
1000,DOD,2626709,LARGE,1
1001,DOE,3100020,LARGE,1
1002,HHS,880210,MID,5
1003,GSA,897891,MID,17
1004,HHS,690234,MID,9
1005,GSA,2846505,LARGE,14
1006,HHS,88875,SMALL,8
1007,DOD,2883531,LARGE,4
1008,DOE,2405846,LARGE,8
1009,GSA,2356626,LARGE,2
1010,DOD,3412417,LARGE,15
1011,GSA,2637027,LARGE,4
1012,HHS,3652356,LARGE,8
1013,DOE,3831420,LARGE,19
1014,GSA,4604582,LARGE,12
1015,GSA,4006261,LARGE,9
1016,DOD,2612645,LARGE,11
1017,DOD,2486158,LARGE,15
1018,HHS,1216757,MID,5
1019,GSA,3017987,LARGE,13
1020,DOD,738720,MID,17
1021,HHS,4659619,LARGE,11
1022,DOD,4232969,LARGE,9
1023,HHS,642681,MID,3
1024,HHS,3940481,LARGE,5
1025,DOD,629662,MID,18
1026,HHS,3620064,LARGE,11
1027,GSA,484159,MID,6
1028,GSA,2466557,LARGE,8
1029,DOD,3306423,LARGE,11
1030,DOD,3657613,LARGE,11
1031,DOD,2122111,LARGE,14
1032,DOE,4612036,LARGE,5
1033,DOD,3882891,LARGE,13
1034,GSA,1080910,MID,9
1035,GSA,3372595,LARGE,18
1036,GSA,3666146,LARGE,4
1037,DOD,1701506,MID,3
1038,DOD,3704245,LARGE,9
1039,GSA,4496914,LARGE,10
1040,DOE,4094715,LARGE,14
1041,HHS,3824534,LARGE,8
1042,GSA,3190762,LARGE,18
1043,DOD,1389147,MID,10
1044,DOD,3986353,LARGE,3
1045,DOD,1852750,MID,3
1046,DOD,2684374,LARGE,19
1047,DOD,1606477,MID,3
1048,GSA,1599434,MID,19
1049,HHS,830177,MID,6
1050,GSA,4808423,LARGE,2
1051,GSA,781527,MID,6
1052,GSA,476981,MID,12
1053,DOD,4683830,LARGE,9
1054,DOE,2797315,LARGE,15
1055,GSA,2217624,LARGE,12
1056,DOD,3700582,LARGE,8
1057,DOD,1947433,MID,13
1058,HHS,683212,MID,19
1059,GSA,3661944,LARGE,8
1060,GSA,921197,MID,3
1061,GSA,2787315,LARGE,8
1062,DOD,4747877,LARGE,16
1063,GSA,4683892,LARGE,5
1064,GSA,1835875,MID,19
1065,HHS,3912492,LARGE,12
1066,GSA,3082745,LARGE,12
1067,GSA,2422879,LARGE,7
1068,DOE,742644,MID,18
1069,DOD,1912979,MID,1
1070,DOE,3276994,LARGE,6
1071,DOD,4933826,LARGE,8
1072,DOD,74208,SMALL,10
1073,DOD,3602913,LARGE,10
1074,HHS,4239367,LARGE,3
1075,HHS,4758413,LARGE,5
1076,HHS,2147828,LARGE,2
1077,HHS,636468,MID,11
1078,HHS,1391287,MID,7
1079,HHS,4260141,LARGE,11
1080,DOD,4395777,LARGE,12
1081,GSA,3203515,LARGE,14
1082,DOE,657565,MID,11
1083,DOD,653512,MID,13
1084,GSA,2416951,LARGE,12
1085,HHS,2961877,LARGE,13
1086,DOD,210274,MID,12
1087,DOD,3446177,LARGE,7
1088,DOD,2745324,LARGE,5
1089,DOE,110898,SMALL,15
1090,DOD,523603,MID,7
1091,HHS,2298873,LARGE,11
1092,HHS,3626797,LARGE,4
1093,GSA,4135727,LARGE,9
1094,HHS,2184942,LARGE,11
1095,HHS,1512027,MID,12
1096,HHS,4843136,LARGE,11
1097,DOD,2319813,LARGE,7
1098,DOD,1611179,MID,19
1099,HHS,2239454,LARGE,10
